  0%|          | 0/4791 [00:00<?, ?it/s]/mnt/petrelfs/songmingyang/code/mm/MAPO/m3apo/alignment/trainer/llava_dpo_trainer.py:179: UserWarning: compute_loss is only implemented for DPODataCollatorWithPadding, and you passed a datacollator that is different than DPODataCollatorWithPadding - you might see unexpected behavior. Alternatively, you can implement your own prediction_step method if you are using a custom data collator
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
  0%|          | 1/4791 [00:14<18:45:25, 14.10s/it]
{'loss': 0.6931, 'learning_rate': 1.3888888888888887e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'policy_logps/rejected': -288.25750732421875, 'policy_logps/chosen': -245.60850524902344, 'referece_logps/rejected': -288.25750732421875, 'referece_logps/chosen': -245.60850524902344, 'logits/rejected': -0.8651309609413147, 'logits/chosen': -0.8699525594711304, 'epoch': 0.0}


  0%|          | 3/4791 [00:36<15:31:28, 11.67s/it]
{'loss': 0.6983, 'learning_rate': 4.166666666666666e-08, 'rewards/chosen': 0.01353912428021431, 'rewards/rejected': 0.007831573486328125, 'rewards/accuracies': 0.625, 'rewards/margins': 0.005707551725208759, 'policy_logps/rejected': -278.32073974609375, 'policy_logps/chosen': -419.53857421875, 'referece_logps/rejected': -278.3990478515625, 'referece_logps/chosen': -419.6739501953125, 'logits/rejected': -0.024573177099227905, 'logits/chosen': -0.32010775804519653, 'epoch': 0.0}

  0%|          | 4/4791 [00:46<15:02:29, 11.31s/it]

  0%|          | 5/4791 [00:57<14:45:00, 11.10s/it]

  0%|          | 6/4791 [01:08<14:33:58, 10.96s/it]

  0%|          | 7/4791 [01:18<14:24:33, 10.84s/it]

  0%|          | 8/4791 [01:29<14:20:06, 10.79s/it]

  0%|          | 9/4791 [01:40<14:14:36, 10.72s/it]

  0%|          | 10/4791 [01:50<14:13:54, 10.72s/it]

