  0%|          | 0/19002 [00:00<?, ?it/s]/mnt/petrelfs/songmingyang/code/mm/MAPO/m3apo/alignment/trainer/llava_dpo_trainer.py:179: UserWarning: compute_loss is only implemented for DPODataCollatorWithPadding, and you passed a datacollator that is different than DPODataCollatorWithPadding - you might see unexpected behavior. Alternatively, you can implement your own prediction_step method if you are using a custom data collator
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
  0%|          | 1/19002 [00:14<75:12:08, 14.25s/it]
{'loss': 0.6931, 'learning_rate': 3.5026269702276706e-09, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'policy_logps/rejected': -527.8358154296875, 'policy_logps/chosen': -465.40130615234375, 'referece_logps/rejected': -527.8358154296875, 'referece_logps/chosen': -465.40130615234375, 'logits/rejected': -0.06628978252410889, 'logits/chosen': -0.1961071789264679, 'epoch': 0.0}


  0%|          | 3/19002 [00:36<61:58:07, 11.74s/it]
{'loss': 0.6905, 'learning_rate': 1.0507880910683012e-08, 'rewards/chosen': 0.0015428531914949417, 'rewards/rejected': 0.018634416162967682, 'rewards/accuracies': 0.625, 'rewards/margins': -0.01709156297147274, 'policy_logps/rejected': -398.2062683105469, 'policy_logps/chosen': -565.8878784179688, 'referece_logps/rejected': -398.39263916015625, 'referece_logps/chosen': -565.9032592773438, 'logits/rejected': -0.19501455128192902, 'logits/chosen': -0.2923901677131653, 'epoch': 0.0}

  0%|          | 4/19002 [00:47<59:42:11, 11.31s/it]

  0%|          | 5/19002 [00:57<58:35:03, 11.10s/it]

  0%|          | 6/19002 [01:08<57:59:49, 10.99s/it]

  0%|          | 7/19002 [01:19<57:38:20, 10.92s/it]

  0%|          | 8/19002 [01:30<57:15:40, 10.85s/it]

  0%|          | 9/19002 [01:40<56:54:19, 10.79s/it]

  0%|          | 10/19002 [01:51<56:41:51, 10.75s/it]

  0%|          | 11/19002 [02:02<56:56:30, 10.79s/it]

  0%|          | 12/19002 [02:12<56:50:19, 10.78s/it]


  0%|          | 14/19002 [02:34<56:40:39, 10.75s/it]
{'loss': 0.6964, 'learning_rate': 4.903677758318739e-08, 'rewards/chosen': 0.02660827711224556, 'rewards/rejected': -0.005720234010368586, 'rewards/accuracies': 0.875, 'rewards/margins': 0.03232851251959801, 'policy_logps/rejected': -451.3459167480469, 'policy_logps/chosen': -475.4501953125, 'referece_logps/rejected': -451.2886962890625, 'referece_logps/chosen': -475.71624755859375, 'logits/rejected': -1.0113815069198608, 'logits/chosen': -0.8652747273445129, 'epoch': 0.0}

